orthographe	phonetique
sanctionnèrent	sa~ksjOnER
sanctionné	sa~ksjOne
sanctionnée	sa~ksjOne
sanctionnées	sa~ksjOne
sanctionnés	sa~ksjOne
sanctions	sa~ksjo~
sanctuaire	sa~ktHER
sanctuaires	sa~ktHER
sanctuarisation	sa~ktHaRizasjo~
sanctuarisations	sa~ktHaRizasjo~
sandale	sa~dal
sandales	sa~dal
sandalette	sa~dalEt
sandalettes	sa~dalEt
sandwich	sa~dwitS
sandwicherie	sa~dwitS@Ri
sandwicheries	sa~dwitS@Ri
sandwichs	sa~dwitS
sang	sa~
sang-froid	sa~fRwa
sang-froids	sa~fRwa
sangla	sa~gla
sanglai	sa~gle
sanglaient	sa~glE
sanglais	sa~glE
sanglait	sa~glE
sanglant	sa~gla~
sanglante	sa~gla~t
sanglantes	sa~gla~t
sanglants	sa~gla~
sanglas	sa~gla
sanglasse	sa~glas
sanglassent	sa~glas
sanglasses	sa~glas
sanglassiez	sa~glasje
sanglassions	sa~glasjo~
sangle	sa~gl
sanglent	sa~gl
sangler	sa~gle
sanglera	sa~gl@Ra
sanglerai	sa~gl@Re
sangleraient	sa~gl@RE
sanglerais	sa~gl@RE
sanglerait	sa~gl@RE
sangleras	sa~gl@Ra
sanglerez	sa~gl@Re
sangleriez	sa~gl@Rje
sanglerions	sa~gl@Rjo~
sanglerons	sa~gl@Ro~
sangleront	sa~gl@Ro~
sangles	sa~gl
sanglez	sa~gle
sanglier	sa~glije
sangliers	sa~glije
sangliez	sa~glije
sanglions	sa~glijo~
sanglons	sa~glo~
sanglot	sa~glo
sanglota	sa~glOta
sanglotai	sa~glOte
sanglotaient	sa~glOtE
sanglotais	sa~glOtE
sanglotait	sa~glOtE
sanglotant	sa~glOta~
sanglotas	sa~glOta
sanglotasse	sa~glOtas
sanglotassent	sa~glOtas
sanglotasses	sa~glOtas
sanglotassiez	sa~glOtasje
sanglotassions	sa~glOtasjo~
sanglote	sa~glOt
sanglotent	sa~glOt
sangloter	sa~glOte
sanglotera	sa~glOt@Ra
sangloterai	sa~glOt@Re
sangloteraient	sa~glOt@RE
sangloterais	sa~glOt@RE
sangloterait	sa~glOt@RE
sangloteras	sa~glOt@Ra
sangloterez	sa~glOt@Re
sangloteriez	sa~glOt@Rje
sangloterions	sa~glOt@Rjo~
sangloterons	sa~glOt@Ro~
sangloteront	sa~glOt@Ro~
sanglotes	sa~glOt
sanglotez	sa~glOte
sanglotiez	sa~glOtje
sanglotions	sa~glOtjo~
sanglotons	sa~glOto~
sanglots	sa~glo
sanglotâmes	sa~glOtam
sanglotât	sa~glOta
sanglotâtes	sa~glOtat
sanglotèrent	sa~glOtER
sangloté	sa~glOte
sanglotée	sa~glOte
sanglotées	sa~glOte
sanglotés	sa~glOte
sanglâmes	sa~glam
sanglât	sa~gla
sanglâtes	sa~glat
sanglèrent	sa~glER
sanglé	sa~gle
sanglée	sa~gle
sanglées	sa~gle
sanglés	sa~gle
sangs	sa~
sangsue	sa~sy
sangsues	sa~sy
sanguin	sa~ge~
sanguinaire	sa~ginER
sanguinaires	sa~ginER
sanguine	sa~gin
sanguines	sa~gin
sanguinolent	sa~ginOla~
sanguinolente	sa~ginOla~t
sanguinolentes	sa~ginOla~t
sanguinolents	sa~ginOla~
sanguins	sa~ge~
sanitaire	sanitER
sanitaires	sanitER
sans	sa~
sans-coeur	sa~k9R
sans-emploi	sa~za~plwa
sans-façon	sa~faso~
sans-gêne	sa~ZEn
sans-travail	sa~tRavaj
santal	sa~tal
santals	sa~tal
santé	sa~te
santés	sa~te
saoudien	saudje~
saoudienne	saudjEn
saoudiennes	saudjEn
saoudiens	saudje~
saoul	sul
saoule	sul
saoules	sul
saouls	sul
sapa	sapa
sapai	sape
sapaient	sapE
sapais	sapE
sapait	sapE
sapant	sapa~
sapas	sapa
sapasse	sapas
sapassent	sapas
sapasses	sapas
sapassiez	sapasje
sapassions	sapasjo~
sape	sap
sapent	sap
saper	sape
sapera	sap@Ra
saperai	sap@Re
saperaient	sap@RE
saperais	sap@RE
saperait	sap@RE
saperas	sap@Ra
saperez	sap@Re
saperiez	sap@Rje
saperions	sap@Rjo~
saperlipopette	sapERlipOpEt
saperlotte	sapERlOt
saperons	sap@Ro~
saperont	sap@Ro~
sapes	sap
sapeur	sap9R
sapeur-pompier	sap9Rpo~pje
sapeurs	sap9R
sapeurs-pompiers	sap9Rpo~pje
sapez	sape
saphir	safiR
saphirs	safiR
sapiez	sapje
sapin	sape~
sapins	sape~
sapions	sapjo~
sapons	sapo~
sapristi	sapRisti
sapâmes	sapam
sapât	sapa
sapâtes	sapat
sapèrent	sapER
sapé	sape
sapée	sape
sapées	sape
sapés	sape
sarabande	saRaba~d
sarabandes	saRaba~d
sarbacane	saRbakan
sarbacanes	saRbakan
sarcasme	saRkasm
sarcasmes	saRkasm
sarcastique	saRkastik
sarcastiquement	saRkastik@ma~
sarcastiques	saRkastik
sarcla	saRkla
sarclai	saRkle
sarclaient	saRklE
sarclais	saRklE
sarclait	saRklE
sarclant	saRkla~
sarclas	saRkla
sarclasse	saRklas
sarclassent	saRklas
sarclasses	saRklas
sarclassiez	saRklasje
sarclassions	saRklasjo~
sarcle	saRkl
sarclent	saRkl
sarcler	saRkle
sarclera	saRkl@Ra
sarclerai	saRkl@Re
sarcleraient	saRkl@RE
sarclerais	saRkl@RE
sarclerait	saRkl@RE
sarcleras	saRkl@Ra
sarclerez	saRkl@Re
sarcleriez	saRkl@Rje
sarclerions	saRkl@Rjo~
sarclerons	saRkl@Ro~
sarcleront	saRkl@Ro~
sarcles	saRkl
sarclez	saRkle
sarcliez	saRklije
sarclions	saRklijo~
sarcloir	saRklwaR
sarcloirs	saRklwaR
sarclons	saRklo~
sarclâmes	saRklam
sarclât	saRkla
sarclâtes	saRklat
sarclèrent	saRklER
sarclé	saRkle
sarclée	saRkle
sarclées	saRkle
sarclés	saRkle
sarcophage	saRkOfaZ
sarcophages	saRkOfaZ
sardine	saRdin
sardines	saRdin
sardonique	saRdOnik
sardoniquement	saRdOnik@ma~
sardoniques	saRdOnik
sarrasin	saRaze~
sarrasins	saRaze~
sarrau	saRo
sarraus	saRo
sarriette	saRjEt
sarriettes	saRjEt
sarrois	saRwa
sarroise	saRwaz
sarroises	saRwaz
sas	sas
satanique	satanik
sataniquement	satanik@ma~
sataniques	satanik
satanisme	satanism
satanismes	satanism
satané	satane
satanée	satane
satanées	satane
satanés	satane
satellisa	sateliza
satellisai	satelize
satellisaient	satelizE
satellisais	satelizE
satellisait	satelizE
satellisant	sateliza~
satellisas	sateliza
satellisasse	satelizas
satellisassent	satElizas
satellisasses	satelizas
satellisassiez	satelizasje
satellisassions	satelizasjo~
satellisation	satelizasjo~
satellisations	satelizasjo~
satellise	sateliz
satellisent	sateliz
satelliser	satelize
satellisera	sateliz@Ra
satelliserai	sateliz@Re
satelliseraient	sateliz@RE
satelliserais	sateliz@RE
satelliserait	sateliz@RE
satelliseras	sateliz@Ra
satelliserez	sateliz@Re
satelliseriez	sateliz@Rje
satelliserions	sateliz@Rjo~
satelliserons	sateliz@Ro~
satelliseront	sateliz@Ro~
satellises	sateliz
satellisez	satelize
satellisiez	satelizje
satellisions	satelizjo~
satellisons	satelizo~
satellisâmes	satelizam
satellisât	sateliza
satellisâtes	satelizat
satellisèrent	satelizER
satellisé	satelize
satellisée	satelize
satellisées	satelize
satellisés	satelize
satellite	satelit
satellite-espion	satElitEspjo~
satellites	satelit
satellites-espions	satElitzEspjo~
satin	sate~
satins	sate~
satiné	satine
satinée	satine
satinées	satine
satinés	satine
satire	satiR
satires	satiR
satirique	satiRik
satiriquement	satiRik@ma~
satiriques	satiRik
satirisa	satiRiza
satirisai	satiRize
satirisaient	satiRizE
satirisais	satiRizE
satirisait	satiRizE
satirisant	satiRiza~
satirisas	satiRiza
satirisasse	satiRizas
satirisassent	satiRizas
satirisasses	satiRizas
satirisassiez	satiRizasje
satirisassions	satiRizasjo~
satirise	satiRiz
satirisent	satiRiz
satiriser	satiRize
satirisera	satiRiz@Ra
satiriserai	satiRiz@Re
satiriseraient	satiRiz@RE
satiriserais	satiRiz@RE
satiriserait	satiRiz@RE
satiriseras	satiRiz@Ra
satiriserez	satiRiz@Re
satiriseriez	satiRiz@Rje
satiriserions	satiRiz@Rjo~
satiriserons	satiRiz@Ro~
satiriseront	satiRiz@Ro~
satirises	satiRiz
satirisez	satiRize
satirisiez	satiRizje
satirisions	satiRizjo~
satirisons	satiRizo~
satirisâmes	satiRizam
satirisât	satiRiza
satirisâtes	satiRizat
satirisèrent	satiRizER
satirisé	satiRize
satirisée	satiRize
satirisées	satiRize
satirisés	satiRize
satisfaction	satisfaksjo~
satisfactions	satisfaksjo~
satisfaire	satisfER
satisfais	satisfE
satisfaisaient	satisf2zE
satisfaisais	satisf2zE
satisfaisait	satisf2zE
satisfaisant	satisf@za~
satisfaisante	satisf@za~t
satisfaisantes	satisf@za~t
satisfaisants	satisf@za~
satisfaisent	satisfEz
satisfaisez	satisfEze
satisfaisiez	satisf2zje
satisfaisions	satisf2zjo~
satisfaisons	satisf2zo~
satisfait	satisfE
satisfaite	satisfEt
satisfaites	satisfEt
satisfaits	satisfE
satisfasse	satisfas
satisfassent	satisfas
satisfasses	satisfas
satisfassiez	satisfasje
satisfassions	satisfasjo~
satisfera	satisf@Ra
satisferai	satisf@Re
satisferaient	satisf@RE
satisferais	satisf@RE
satisferait	satisf@RE
satisferas	satisf@Ra
satisferez	satisf@Re
satisferiez	satisf@Rje
satisferions	satisf@Rjo~
satisferons	satisf@Ro~
satisferont	satisf@Ro~
satisfirent	satisfiR
satisfis	satisfi
satisfisse	satisfis
satisfissent	satisfis
satisfisses	satisfis
satisfissiez	satisfisje
satisfissions	satisfisjo~
satisfit	satisfi
satisfîmes	satisfim
satisfît	satisfi
satisfîtes	satisfit
satiété	sasjete
satiétés	sasjete
satura	satyRa
saturai	satyRe
saturaient	satyRE
saturais	satyRE
saturait	satyRE
saturant	satyRa~
saturas	satyRa
saturasse	satyRas
saturassent	satyRas
saturasses	satyRas
saturassiez	satyRasje
saturassions	satyRasjo~
saturation	satyRasjo~
saturations	satyRasjo~
sature	satyR
saturent	satyR
saturer	satyRe
saturera	satyR@Ra
saturerai	satyR@Re
satureraient	satyR@RE
saturerais	satyR@RE
saturerait	satyR@RE
satureras	satyR@Ra
saturerez	satyR@Re
satureriez	satyR@Rje
saturerions	satyR@Rjo~
saturerons	satyR@Ro~
satureront	satyR@Ro~
satures	satyR
saturez	satyRe
saturiez	satyRje
saturions	satyRjo~
saturnisme	satyRnism
saturnismes	satyRnism
saturons	satyRo~
saturâmes	satyRam
saturât	satyRa
saturâtes	satyRat
saturèrent	satyRER
saturé	satyRe
saturée	satyRe
saturées	satyRe
saturés	satyRe
satyre	satiR
satyres	satiR
sauce	sos
saucent	sos
saucer	sose
saucera	sos@Ra
saucerai	sos@Re
sauceraient	sos@RE
saucerais	sos@RE
saucerait	sos@RE
sauceras	sos@Ra
saucerez	sos@Re
sauceriez	sos@Rje
saucerions	sos@Rjo~
saucerons	sos@Ro~
sauceront	sos@Ro~
sauces	sos
saucez	sose
sauciez	sosje
saucions	sosjo~
saucisse	sosis
saucisses	sosis
saucisson	sosiso~
saucissonna	sosisOna
saucissonnai	sosisOne
saucissonnaient	sosisOnE
saucissonnais	sosisOnE
saucissonnait	sosisOnE
saucissonnant	sosisOna~
saucissonnas	sosisOna
saucissonnasse	sosisOnas
saucissonnassent	sosisOnas
saucissonnasses	sosisOnas
saucissonnassiez	sosisOnasje
saucissonnassions	sosisOnasjo~
saucissonne	sosisOn
saucissonnent	sosisOn
saucissonner	sosisOne
saucissonnera	sosisOn@Ra
saucissonnerai	sosisOn@Re
saucissonneraient	sosisOn@RE
saucissonnerais	sosisOn@RE
saucissonnerait	sosisOn@RE
saucissonneras	sosisOn@Ra
saucissonnerez	sosisOn@Re
saucissonneriez	sosisOn@Rje
saucissonnerions	sosisOn@Rjo~
saucissonnerons	sosisOn@Ro~
saucissonneront	sosisOn@Ro~
saucissonnes	sosisOn
saucissonnez	sosisOne
saucissonniez	sosisOnje
saucissonnions	sosisOnjo~
saucissonnons	sosisOno~
saucissonnâmes	sosisOnam
saucissonnât	sosisOna
saucissonnâtes	sosisOnat
saucissonnèrent	sosisOnER
saucissonné	sosisOne
saucissonnée	sosisOne
saucissonnées	sosisOne
saucissonnés	sosisOne
saucissons	sosiso~
saucière	sosjER
saucières	sosjER
saucèrent	sosER
saucé	sose
saucée	sose
saucées	sose
saucés	sose
sauf	sof
sauf-conduit	sofko~dHi
sauf-conduits	sofko~dHi
saufs	sof
sauge	soZ
sauges	soZ
saugrenu	sogR@ny
saugrenue	sogR@ny
saugrenues	sogR@ny
saugrenus	sogR@ny
saule	sol
saules	sol
saumon	somo~
saumons	somo~
saumure	somyR
saumures	somyR
saumâtre	somatR
saumâtres	somatR
sauna	sona
saunas	sona
saupoudra	sopudRa
saupoudrai	sopudRe
saupoudraient	sopudRE
saupoudrais	sopudRE
saupoudrait	sopudRE
saupoudrant	sopudRa~
saupoudras	sopudRa
saupoudrasse	sopudRas
saupoudrassent	sopudRas
saupoudrasses	sopudRas
saupoudrassiez	sopudRasje
saupoudrassions	sopudRasjo~
saupoudre	sopudR
saupoudrent	sopudR
saupoudrer	sopudRe
saupoudrera	sopudR@Ra
saupoudrerai	sopudR@Re
saupoudreraient	sopudR@RE
saupoudrerais	sopudR@RE
saupoudrerait	sopudR@RE
saupoudreras	sopudR@Ra
saupoudrerez	sopudR@Re
saupoudreriez	sopudR@Rje
saupoudrerions	sopudR@Rjo~
saupoudrerons	sopudR@Ro~
saupoudreront	sopudR@Ro~
saupoudres	sopudR
saupoudrez	sopudRe
saupoudriez	sopudRije
saupoudrions	sopudRijo~
saupoudrons	sopudRo~
saupoudrâmes	sopudRam
saupoudrât	sopudRa
saupoudrâtes	sopudRat
saupoudrèrent	sopudRER
saupoudré	sopudRe
saupoudrée	sopudRe
saupoudrées	sopudRe
saupoudrés	sopudRe
saura	soRa
saurai	soRe
sauraient	soRE
saurais	soRE
saurait	soRE
sauras	soRa
saurez	soRe
sauriez	soRje
saurions	soRjo~
saurons	soRo~
sauront	soRo~
saut	so
sauta	sota
sautai	sote
sautaient	sotE
sautais	sotE
sautait	sotE
sautant	sota~
sautas	sota
sautasse	sotas
sautassent	sotas
sautasses	sotas
sautassiez	sotasje
sautassions	sotasjo~
saute	sot
sautent	sot
sauter	sote
sautera	sot@Ra
sauterai	sot@Re
sauteraient	sot@RE
sauterais	sot@RE
sauterait	sot@RE
sauteras	sot@Ra
sauterelle	sot@REl
sauterelles	sot@REl
sauterez	sot@Re
sauteriez	sot@Rje
sauterions	sot@Rjo~
sauterons	sot@Ro~
sauteront	sot@Ro~
sautes	sot
sauteur	sot9R
sauteurs	sot9R
sauteuse	sot2z
sauteuses	sot2z
sautez	sote
sautiez	sotje
sautilla	sotija
sautillai	sotije
sautillaient	sotijE
sautillais	sotijE
sautillait	sotijE
sautillant	sotija~
sautillas	sotija
sautillasse	sotijas
sautillassent	sotijas
sautillasses	sotijas
sautillassiez	sotijasje
sautillassions	sotijasjo~
sautille	sotij
sautillement	sotij@ma~
sautillements	sotij@ma~
sautillent	sotij
sautiller	sotije
sautillera	sotij@Ra
sautillerai	sotij@Re
sautilleraient	sotij@RE
sautillerais	sotij@RE
sautillerait	sotij@RE
sautilleras	sotij@Ra
sautillerez	sotij@Re
sautilleriez	sotij@Rje
sautillerions	sotij@Rjo~
sautillerons	sotij@Ro~
sautilleront	sotij@Ro~
sautilles	sotij
sautillez	sotije
sautilliez	sotijje
sautillions	sotijio~
sautillons	sotijo~
sautillâmes	sotijam
sautillât	sotija
sautillâtes	sotijat
sautillèrent	sotijER
sautillé	sotije
sautillée	sotije
sautillées	sotije
sautillés	sotije
sautions	sotjo~
sautoir	sotwaR
sautoirs	sotwaR
sautons	soto~
sauts	so
sautâmes	sotam
sautât	sota
sautâtes	sotat
sautèrent	sotER
sauté	sote
sautée	sote
sautées	sote
sautés	sote
sauva	sova
sauvage	sovaZ
sauvagement	sovaZ@ma~
sauvagerie	sovaZ@Ri
sauvageries	sovaZ@Ri
sauvages	sovaZ
sauvai	sove
sauvaient	sovE
sauvais	sovE
sauvait	sovE
sauvant	sova~
sauvas	sova
sauvasse	sovas
sauvassent	sovas
sauvasses	sovas
sauvassiez	sovasje
sauvassions	sovasjo~
sauve	sov
sauve-qui-peut	sovkip2
sauvegarda	sov@gaRda
sauvegardai	sov@gaRde
sauvegardaient	sov@gaRdE
sauvegardais	sov@gaRdE
sauvegardait	sov@gaRdE
sauvegardant	sov@gaRda~
sauvegardas	sov@gaRda
sauvegardasse	sov@gaRdas
sauvegardassent	sov@gaRdas
sauvegardasses	sov@gaRdas
sauvegardassiez	sov@gaRdasje
sauvegardassions	sov@gaRdasjo~
sauvegarde	sov@gaRd
sauvegardent	sov@gaRd
sauvegarder	sov@gaRde
sauvegardera	sov@gaRd@Ra
sauvegarderai	sov@gaRd@Re
sauvegarderaient	sov@gaRd@RE
sauvegarderais	sov@gaRd@RE
sauvegarderait	sov@gaRd@RE
sauvegarderas	sov@gaRd@Ra
sauvegarderez	sov@gaRd@Re
sauvegarderiez	sov@gaRd@Rje
sauvegarderions	sov@gaRd@Rjo~
sauvegarderons	sov@gaRd@Ro~
sauvegarderont	sov@gaRd@Ro~
sauvegardes	sov@gaRd
sauvegardez	sov@gaRde
sauvegardiez	sov@gaRdje
sauvegardions	sov@gaRdjo~
sauvegardons	sov@gaRdo~
sauvegardâmes	sov@gaRdam
sauvegardât	sov@gaRda
sauvegardâtes	sov@gaRdat
sauvegardèrent	sov@gaRdER
sauvegardé	sov@gaRde
sauvegardée	sov@gaRde
sauvegardées	sov@gaRde
sauvegardés	sov@gaRde
sauvent	sov
sauver	sove
sauvera	sov@Ra
sauverai	sov@Re
sauveraient	sov@RE
sauverais	sov@RE
sauverait	sov@RE
sauveras	sov@Ra
sauverez	sov@Re
sauveriez	sov@Rje
sauverions	sov@Rjo~
sauverons	sov@Ro~
sauveront	sov@Ro~
sauves	sov
sauvetage	sov@taZ
sauvetages	sov@taZ
sauveteur	sov@t9R
sauveteurs	sov@t9R
sauveur	sov9R
sauveurs	sov9R
sauvez	sove
sauviez	sovje
sauvions	sovjo~
sauvons	sovo~
sauvâmes	sovam
sauvât	sova
sauvâtes	sovat
sauvèrent	sovER
sauvé	sove
sauvée	sove
sauvées	sove
sauvés	sove
sauça	sosa
sauçai	sose
sauçaient	sosE
sauçais	sosE
sauçait	sosE
sauçant	sosa~
sauças	sosa
sauçasse	sosas
sauçassent	sosas
sauçasses	sosas
sauçassiez	sosasje
sauçassions	sosasjo~
sauçons	soso~
sauçâmes	sosam
sauçât	sosa
sauçâtes	sosat
savaient	savE
savais	savE
savait	savE
savamment	savama~
savane	savan
savanes	savan
savant	sava~
savante	sava~t
savantes	sava~t
savants	sava~
savent	sav
saveur	sav9R
saveurs	sav9R
savez	save
saviez	savje
savions	savjo~
savoir	savwaR
savoir-faire	savwaRfER
savoir-vivre	savwaRvivR
savoirs	savwaR
savon	savo~
savonna	savOna
savonnage	savOnaZ
savonnages	savOnaZ
savonnai	savOne
savonnaient	savOnE
savonnais	savOnE
savonnait	savOnE
savonnant	savOna~
savonnas	savOna
savonnasse	savOnas
savonnassent	savOnas
savonnasses	savOnas
savonnassiez	savOnasje
savonnassions	savOnasjo~
savonne	savOn
savonnent	savOn
savonner	savOne
savonnera	savOn@Ra
savonnerai	savOn@Re
savonneraient	savOn@RE
savonnerais	savOn@RE
savonnerait	savOn@RE
savonneras	savOn@Ra
savonnerez	savOn@Re
savonneriez	savOn@Rje
savonnerions	savOn@Rjo~
savonnerons	savOn@Ro~
savonneront	savOn@Ro~
savonnes	savOn
savonnette	savOnEt
savonnettes	savOnEt
savonneuse	savOn2z
savonneuses	savOn2z
savonneux	savOn2
savonnez	savOne
savonniez	savOnje
savonnions	savOnjo~
savonnons	savOno~
savonnâmes	savOnam
savonnât	savOna
savonnâtes	savOnat
savonnèrent	savOnER
savonné	savOne
savonnée	savOne
savonnées	savOne
savonnés	savOne
savons	savo~
savoura	savuRa
savourai	savuRe
savouraient	savuRE
savourais	savuRE
savourait	savuRE
savourant	savuRa~
savouras	savuRa
savourasse	savuRas
savourassent	savuRas
savourasses	savuRas
savourassiez	savuRasje
savourassions	savuRasjo~
savoure	savuR
savourent	savuR
savourer	savuRe
savourera	savuR@Ra
savourerai	savuR@Re
savoureraient	savuR@RE
savourerais	savuR@RE
savourerait	savuR@RE
savoureras	savuR@Ra
savourerez	savuR@Re
savoureriez	savuR@Rje
savourerions	savuR@Rjo~
savourerons	savuR@Ro~
savoureront	savuR@Ro~
savoures	savuR
savoureuse	savuR2z
savoureusement	savuR2z@ma~
savoureuses	savuR2z
savoureux	savuR2
savourez	savuRe
savouriez	savuRje
savourions	savuRjo~
savourons	savuRo~
savourâmes	savuRam
savourât	savuRa
savourâtes	savuRat
savourèrent	savuRER
savouré	savuRe
savourée	savuRe
savourées	savuRe
savourés	savuRe
savoyard	savwajaR
savoyarde	savwajaRd
savoyardes	savwajaRd
savoyards	savwajaR
saxon	sakso~
saxonne	saksOn
saxonnes	saksOn
saxons	sakso~
saxophone	saksOfOn
saxophones	saksOfOn
saxophoniste	saksOfOnist
saxophonistes	saksOfOnist
saynète	sEnEt
saynètes	sEnEt
sbire	sbiR
sbires	sbiR
scabreuse	skabR2z
scabreuses	skabR2z
scabreux	skabR2
scalpa	skalpa
scalpai	skalpe
scalpaient	skalpE
scalpais	skalpE
scalpait	skalpE
scalpant	skalpa~
scalpas	skalpa
scalpasse	skalpas
scalpassent	skalpas
scalpasses	skalpas
scalpassiez	skalpasje
scalpassions	skalpasjo~
scalpe	skalp
scalpel	skalpEl
scalpels	skalpEl
scalpent	skalp
scalper	skalpe
scalpera	skalp@Ra
scalperai	skalp@Re
scalperaient	skalp@RE
scalperais	skalp@RE
scalperait	skalp@RE
scalperas	skalp@Ra
scalperez	skalp@Re
scalperiez	skalp@Rje
scalperions	skalp@Rjo~
scalperons	skalp@Ro~
scalperont	skalp@Ro~
scalpes	skalp
scalpez	skalpe
scalpiez	skalpje
scalpions	skalpjo~
scalpons	skalpo~
scalpâmes	skalpam
scalpât	skalpa
scalpâtes	skalpat
scalpèrent	skalpER
scalpé	skalpe
scalpée	skalpe
scalpées	skalpe
scalpés	skalpe
scanda	ska~da
scandai	ska~de
scandaient	ska~dE
scandais	ska~dE
scandait	ska~dE
scandale	ska~dal
scandales	ska~dal
scandaleuse	ska~dal2z
scandaleusement	ska~dal2z@ma~
scandaleuses	ska~dal2z
scandaleux	ska~dal2
scandalisa	ska~daliza
scandalisai	ska~dalize
scandalisaient	ska~dalizE
scandalisais	ska~dalizE
scandalisait	ska~dalizE
scandalisant	ska~daliza~
scandalisas	ska~daliza
scandalisasse	ska~dalizas
scandalisassent	ska~dalizas
scandalisasses	ska~dalizas
scandalisassiez	ska~dalizasje
scandalisassions	ska~dalizasjo~
scandalise	ska~daliz
scandalisent	ska~daliz
scandaliser	ska~dalize
scandalisera	ska~daliz@Ra
scandaliserai	ska~daliz@Re
scandaliseraient	ska~daliz@RE
scandaliserais	ska~daliz@RE
scandaliserait	ska~daliz@RE
scandaliseras	ska~daliz@Ra
scandaliserez	ska~daliz@Re
scandaliseriez	ska~daliz@Rje
scandaliserions	ska~daliz@Rjo~
scandaliserons	ska~daliz@Ro~
scandaliseront	ska~daliz@Ro~
scandalises	ska~daliz
scandalisez	ska~dalize
scandalisiez	ska~dalizje
scandalisions	ska~dalizjo~
scandalisons	ska~dalizo~
scandalisâmes	ska~dalizam
scandalisât	ska~daliza
scandalisâtes	ska~dalizat
scandalisèrent	ska~dalizER
scandalisé	ska~dalize
scandalisée	ska~dalize
scandalisées	ska~dalize
scandalisés	ska~dalize
scandant	ska~da~
scandas	ska~da
scandasse	ska~das
scandassent	ska~das
scandasses	ska~das
scandassiez	ska~dasje
scandassions	ska~dasjo~
scande	ska~d
scandent	ska~d
scander	ska~de
scandera	ska~d@Ra
scanderai	ska~d@Re
scanderaient	ska~d@RE
scanderais	ska~d@RE
scanderait	ska~d@RE
scanderas	ska~d@Ra
scanderez	ska~d@Re
scanderiez	ska~d@Rje
scanderions	ska~d@Rjo~
scanderons	ska~d@Ro~
scanderont	ska~d@Ro~
scandes	ska~d
scandez	ska~de
scandiez	ska~dje
scandinave	ska~dinav
scandinaves	ska~dinav
scandions	ska~djo~
scandons	ska~do~
scandâmes	ska~dam
scandât	ska~da
scandâtes	ska~dat
scandèrent	ska~dER
scandé	ska~de
scandée	ska~de
scandées	ska~de
scandés	ska~de
scanna	skana
scannai	skane
scannaient	skanE
scannais	skanE
scannait	skanE
scannant	skana~
scannas	skana
scannasse	skanas
scannassent	skanas
scannasses	skanas
scannassiez	skanasje
scannassions	skanasjo~
scanne	skan
scannent	skan
scanner	skanER
scannera	skan@Ra
scannerai	skan@Re
scanneraient	skan@RE
scannerais	skan@RE
scannerait	skan@RE
scanneras	skan@Ra
scannerez	skan@Re
scanneriez	skan@Rje
scannerions	skan@Rjo~
scannerons	skan@Ro~
scanneront	skan@Ro~
scanners	skanER
scannes	skan
scannez	skane
scanniez	skanje
scannions	skanjo~
scannons	skano~
scannâmes	skanam
scannât	skana
scannâtes	skanat
scannèrent	skanER
scanné	skane
scannée	skane
scannées	skane
scannés	skane
scaphandre	skafa~dR
scaphandres	skafa~dR
scaphandrier	skafa~dRije
scaphandriers	skafa~dRije
scarabée	skaRabe
scarabées	skaRabe
scarification	skaRifikasjo~
scarifications	skaRifikasjo~
scarlatine	skaRlatin
scarlatines	skaRlatin
scarole	skaROl
scaroles	skaROl
scatologie	skatOlOZi
scatologies	skatOlOZi
scatologique	skatOlOZik
scatologiques	skatOlOZik
sceau	so
sceaux	so
scella	sela
scellai	sele
scellaient	selE
scellais	selE
scellait	selE
scellant	sela~
scellas	sela
scellasse	selas
scellassent	selas
scellasses	selas
scellassiez	selasje
scellassions	selasjo~
scelle	sEl
scellent	sEl
sceller	sele
scellera	sel@Ra
scellerai	sel@Re
scelleraient	sel@RE
scellerais	sel@RE
scellerait	sel@RE
scelleras	sel@Ra
scellerez	sel@Re
scelleriez	sel@Rje
scellerions	sel@Rjo~
scellerons	sel@Ro~
scelleront	sel@Ro~
scelles	sEl
scellez	sele
scelliez	selje
scellions	seljo~
scellons	selo~
scellâmes	selam
scellât	sela
scellâtes	selat
scellèrent	selER
scellé	sele
scellée	sele
scellées	sele
scellés	sele
scepticisme	sEptisism
scepticismes	sEptisism
sceptique	sEptik
sceptiquement	sEptik@ma~
sceptiques	sEptik
sceptre	sEptR
sceptres	sEptR
schisme	Sism
schismes	Sism
schiste	Sist
schistes	Sist
schizophrène	skizOfREn
schizophrènes	skizOfREn
schizophrénie	skizOfReni
schizophrénies	skizOfReni
schéma	Sema
schémas	Sema
schématique	Sematik
schématiquement	Sematik@ma~
schématiques	Sematik
schématisa	Sematiza
schématisai	Sematize
schématisaient	SematizE
schématisais	SematizE
schématisait	SematizE
schématisant	Sematiza~
schématisas	Sematiza
schématisasse	Sematizas
schématisassent	Sematizas
schématisasses	Sematizas
schématisassiez	Sematizasje
schématisassions	Sematizasjo~
schématise	Sematiz
schématisent	Sematiz
schématiser	Sematize
schématisera	Sematiz@Ra
schématiserai	Sematiz@Re
schématiseraient	Sematiz@RE
schématiserais	Sematiz@RE
schématiserait	Sematiz@RE
schématiseras	Sematiz@Ra
schématiserez	Sematiz@Re
schématiseriez	Sematiz@Rje
schématiserions	Sematiz@Rjo~
schématiserons	Sematiz@Ro~
schématiseront	Sematiz@Ro~
schématises	Sematiz
schématisez	Sematize
schématisiez	Sematizje
